fid,canton,prefecture,region,lat,lon,superficie_km2,points_service,dist_service_km,dist_agence_km,classe_acces
cantons.C01067203,Canton C01067203 (non nommé),Blitta,Centrale,8.091113773690198,0.6491753222199819,98.4,0,9.72,48.17,5 – 10 km
cantons.C01067204,Canton C01067204 (non nommé),Blitta,Centrale,8.153578904817874,0.652562844855255,72.9,0,16.58,44.27,> 10 km
cantons.C01067205,Canton C01067205 (non nommé),Blitta,Centrale,8.202190260543723,0.6172620715349413,19.7,0,21.25,45.69,> 10 km
cantons.C01067206,Canton C01067206 (non nommé),Blitta,Centrale,8.222452584517049,0.6985155014619122,143.2,0,12.22,36.51,> 10 km
cantons.C01067207,M'Poti,Blitta,Centrale,8.310970124094878,0.7949761826908115,273.7,3,10.35,23.72,> 10 km
cantons.C02068208,Kagnigbara,Mô,Centrale,8.905846280300562,0.6610660552719273,248.3,2,3.49,41.32,2 – 5 km
cantons.C02068209,Boulohou,Mô,Centrale,8.698224543597643,0.7015670122716319,563.5,9,7.27,33.67,5 – 10 km
cantons.C03070214,Sotouboua,Sotouboua,Centrale,8.548097098680767,0.8653235256742018,552.7,141,8.64,12.15,5 – 10 km
cantons.C02068210,Djarkpanga,Mô,Centrale,8.779590438766212,0.5528210364926484,278.9,14,1.07,52.35,< 2 km
cantons.C02069211,Saïboudè,Mô,Centrale,8.589056637132838,0.5681064550901898,198.4,2,10.15,44.89,> 10 km
cantons.C02069212,Tindjasse,Mô,Centrale,8.715818247553146,0.4552100369239854,182.9,5,7.06,59.71,5 – 10 km
cantons.C03070215,Kaniamboua,Sotouboua,Centrale,8.608832735968152,0.9981971812291608,45.1,8,0.51,5.41,< 2 km
cantons.C03071216,Séssaro,Sotouboua,Centrale,8.605375762091837,1.2047736430503255,191.7,6,1.94,24.6,< 2 km
cantons.C03071217,Tittigbe,Sotouboua,Centrale,8.629115440264096,1.1045192423754249,112.3,11,1.5,15.06,< 2 km
cantons.C03071218,Aouda,Sotouboua,Centrale,8.757417070608414,1.0163821359164078,359.4,28,4.04,21.93,2 – 5 km
cantons.C03071220,Canton C03071220 (non nommé),Sotouboua,Centrale,8.907919444014507,0.8080823032262135,588.4,0,17.22,37.4,> 10 km
cantons.C03072221,Kazaboua,Sotouboua,Centrale,8.4168175310284,1.1482933456868547,152.8,15,7.15,17.25,5 – 10 km
cantons.C03072222,Bodjondè,Sotouboua,Centrale,8.4459387432083,1.0418288058907443,72.3,6,1.73,11.89,< 2 km
cantons.C03072223,Tchébébé,Sotouboua,Centrale,8.441036391906575,0.8177111931471512,431.6,76,8.52,21.84,5 – 10 km
cantons.C04073224,Affem,Tchamba,Centrale,9.127411011010189,1.525687173281637,132.6,4,1.08,16.82,< 2 km
cantons.C04073225,Alibi I,Tchamba,Centrale,8.914001910763707,1.3952636540340089,182.0,3,3.91,12.14,2 – 5 km
cantons.C04073226,Larini,Tchamba,Centrale,9.092231246541644,1.4332529903134017,120.7,3,5.15,8.02,5 – 10 km
cantons.C04073227,Kri-Kri,Tchamba,Centrale,9.202595829290109,1.4533097210073758,89.0,2,4.07,20.41,2 – 5 km
cantons.C04074230,Koussountou,Tchamba,Centrale,8.762929097801415,1.409797897463108,725.7,41,11.46,20.24,> 10 km
cantons.C04075231,Balanka,Tchamba,Centrale,8.844878112149638,1.6016768608671337,87.9,11,2.29,10.94,2 – 5 km
cantons.C04073228,Tchamba,Tchamba,Centrale,9.005768000576898,1.5351691917340249,304.4,40,5.24,13.29,5 – 10 km
cantons.C04074229,Bago,Tchamba,Centrale,8.46029637602087,1.3916095194696272,638.9,44,5.77,38.63,5 – 10 km
cantons.C04075233,Kaboli,Tchamba,Centrale,8.568654301687294,1.5796330345600882,462.5,40,12.48,19.7,> 10 km
cantons.C05076234,Tchalo,Tchaoudjo,Centrale,8.962821916532265,1.0234966092832498,156.6,23,9.81,12.94,5 – 10 km
cantons.D03087263,Solla,Binah,Kara,9.934753688166703,1.3302895626409341,72.7,12,4.25,30.27,2 – 5 km
cantons.D03087264,Pessaré,Binah,Kara,9.795853510835617,1.2543692423188348,33.7,7,1.09,16.41,< 2 km
cantons.C05076235,Kadambara,Tchaoudjo,Centrale,8.81480264561596,1.1978883602199688,281.8,56,9.08,17.93,5 – 10 km
cantons.C05076236,Kparataou,Tchaoudjo,Centrale,8.9089768278694,1.2844645290676964,348.8,66,4.26,16.27,2 – 5 km
cantons.C05076237,Sokodè (Komah),Tchaoudjo,Centrale,8.991185197366093,1.1107659349233185,95.1,862,0.15,2.87,< 2 km
cantons.C05076238,Kpangalam,Tchaoudjo,Centrale,9.03971421463915,1.0772373410667127,173.4,261,1.3,8.12,< 2 km
cantons.D05092289,Canton D05092289 (non nommé),Doufelgou,Kara,9.888076258348534,1.2420640933377687,69.7,0,7.55,20.0,5 – 10 km
cantons.C05077239,Lama-Tessi,Tchaoudjo,Centrale,8.855772700749808,1.0451701216523095,377.5,45,2.71,17.07,2 – 5 km
cantons.C05078240,Kéméni,Tchaoudjo,Centrale,9.222765070304671,1.2660607607002559,66.3,5,2.47,14.73,2 – 5 km
cantons.C05078241,Aléhéridè,Tchaoudjo,Centrale,9.22087133738501,1.1223385963199317,164.1,27,5.59,19.9,5 – 10 km
cantons.C05078242,Kolina,Tchaoudjo,Centrale,9.106187137620685,1.1139336898618193,220.6,13,2.95,12.46,2 – 5 km
cantons.C05078243,Amaïde,Tchaoudjo,Centrale,9.16221340133543,1.1450309951414517,175.1,20,2.2,18.43,2 – 5 km
cantons.C05079244,Wassarabo,Tchaoudjo,Centrale,9.011267816983114,1.2426149689528048,47.7,10,1.92,11.2,< 2 km
cantons.C05079245,Kpassaouade,Tchaoudjo,Centrale,9.053825575381026,1.3016453095936111,117.8,10,0.86,13.0,< 2 km
cantons.C05079246,Agouloudè,Tchaoudjo,Centrale,9.183595143143823,1.354953955188146,312.4,13,6.55,19.08,5 – 10 km
cantons.D01080247,Dako (Daoude),Assoli,Kara,9.353384884969055,1.0338699675840788,245.2,9,3.89,23.08,2 – 5 km
cantons.D01080248,Bouladè,Assoli,Kara,9.398309779822236,1.2111471429042036,67.6,7,2.9,6.07,2 – 5 km
cantons.D01080249,Bafilo,Assoli,Kara,9.343746628269678,1.2069720853969914,93.2,153,3.52,4.22,2 – 5 km
cantons.D01081250,Alédjo,Assoli,Kara,9.27867750936693,1.1696202331601042,134.4,18,4.92,11.68,2 – 5 km
cantons.D01081251,Koumondè,Assoli,Kara,9.31159015466001,1.2426836416557507,19.7,13,0.58,4.71,< 2 km
cantons.D01082252,Soudou,Assoli,Kara,9.358214926589335,1.330788630680904,291.9,28,0.11,9.55,< 2 km
cantons.D02083253,Baghan,Bassar,Kara,9.076642811560456,0.6878607706150692,201.7,9,0.88,22.69,< 2 km
cantons.D02083254,Bassar,Bassar,Kara,9.20572074984689,0.8551956655661745,1197.6,257,0.01,10.18,< 2 km
cantons.D02083255,Kalanga,Bassar,Kara,9.291137610989887,0.6879260285921043,137.5,7,1.15,10.73,< 2 km
cantons.D02084256,Dimori,Bassar,Kara,9.068922812486242,0.555347859494735,555.6,10,5.83,32.54,5 – 10 km
cantons.D02085260,Kabou,Bassar,Kara,9.537687945655442,0.8463304454574396,444.9,70,3.62,10.09,2 – 5 km
cantons.D02086261,Sanda-Afohou,Bassar,Kara,9.49826055994521,0.953681094387678,107.6,12,1.64,16.32,< 2 km
cantons.D02086262,Sanda-Kagbanda,Bassar,Kara,9.460692051770193,0.8989763870777435,99.2,17,2.51,9.56,2 – 5 km
cantons.D02084257,Bitchabe,Bassar,Kara,9.292806878567676,0.5891386538342112,169.4,4,2.33,21.33,2 – 5 km
cantons.D02084258,Bangeli,Bassar,Kara,9.40987193640954,0.6726227084054713,267.7,40,2.63,16.07,2 – 5 km
cantons.D02085259,Manga,Bassar,Kara,9.546775621139606,0.7231440606746371,105.4,10,2.34,14.27,2 – 5 km
